ID,OriginalAmount,Term,YearlyInterestRate,CurrentInstallment,PD
820,4609,22,12%,10,12.79%
821,5631,36,18%,29,9.75%
822,9079,25,15%,16,2.05%
823,4543,18,17%,16,67.12%
824,3277,21,17%,9,0.75%
825,2251,35,23%,6,21.75%
826,1865,47,5%,6,61.75%
827,9400,34,18%,15,93.33%
828,15822,13,19%,9,8.74%
829,6452,45,32%,25,0.00%
830,4977,36,27%,13,0.04%
831,2586,58,18%,29,11.77%
832,2847,59,12%,39,0.70%
833,7349,19,14%,7,0.44%
834,5258,23,31%,12,0.78%
835,5741,23,28%,1,4.56%
836,16789,23,12%,1,0.02%
837,11824,47,24%,45,0.15%
838,6936,58,29%,2,0.61%
839,11794,32,11%,9,54.81%
840,1140,59,7%,49,0.55%
841,19256,47,25%,33,0.96%
842,7864,36,13%,16,46.73%
843,3542,33,9%,5,4.25%
844,3932,24,24%,4,65.97%
845,4181,20,32%,4,32.46%
846,1571,23,23%,9,0.02%
847,10563,23,13%,11,13.27%
848,2899,22,7%,4,84.44%
849,3474,24,24%,7,99.11%
850,7109,11,18%,6,72.72%
851,1689,47,6%,37,13.48%
852,1631,22,7%,15,37.62%
853,5114,47,24%,20,0.26%
854,2751,31,5%,15,31.18%
855,13436,23,9%,11,42.39%
856,6816,33,29%,26,16.41%
857,3770,45,29%,16,2.30%
858,1549,23,31%,17,29.11%
859,5255,23,31%,5,44.23%
860,17378,21,29%,4,0.13%
861,3887,20,29%,12,16.86%
862,9931,11,18%,4,59.87%
863,3376,35,32%,17,81.21%
864,9733,21,12%,7,11.38%
865,4500,22,24%,14,11.83%
866,18362,48,19%,46,4.68%
867,20210,23,20%,19,16.86%
868,4575,23,7%,19,2.68%
869,17496,23,5%,1,83.46%
870,2306,23,27%,17,73.56%
871,1340,21,22%,10,84.28%
872,23801,23,16%,18,26.54%
873,12349,23,10%,12,0.76%
874,5477,23,27%,6,61.90%
875,14708,24,17%,16,8.82%
876,7100,13,15%,5,1.34%
877,6662,35,30%,21,27.57%
878,8252,47,31%,30,42.38%
879,17906,59,31%,21,7.92%
880,11758,23,21%,16,7.48%
881,5445,55,13%,50,31.74%
882,5392,12,15%,1,11.79%
883,5059,13,18%,7,60.79%
884,11532,47,11%,41,90.55%
885,7663,23,30%,15,16.24%
886,24092,44,11%,18,0.76%
887,3641,24,11%,8,61.76%
888,6909,44,20%,4,11.37%
889,7767,24,5%,14,88.16%
890,10493,40,5%,8,24.05%
891,1919,23,30%,13,96.84%
892,4611,59,22%,37,1.24%
893,15196,23,11%,15,87.44%
894,64173,58,18%,17,60.19%
895,29629,32,22%,29,0.05%
896,3739,24,18%,21,3.87%
897,5984,22,12%,7,84.41%
898,25579,34,19%,30,0.88%
899,5205,32,9%,24,12.99%
900,3613,23,19%,20,25.62%
901,12533,22,31%,4,12.36%
902,7013,47,18%,15,2.67%
903,6511,34,32%,28,18.98%
904,2998,23,12%,16,3.74%
905,14794,11,19%,1,42.28%
906,4588,12,10%,10,0.89%
907,9296,23,15%,1,78.05%
908,4867,21,16%,9,1.18%
909,2304,23,6%,10,21.97%
910,4398,11,9%,6,0.43%
911,5446,34,22%,13,81.06%
912,2718,48,23%,10,15.08%
913,3912,23,8%,5,0.01%
914,2240,12,8%,1,97.38%
915,1494,23,21%,1,10.85%
916,5783,47,19%,40,0.01%
917,9505,35,25%,13,48.80%
918,2269,47,9%,8,1.17%
919,1754,18,32%,6,1.79%
920,33645,47,10%,35,11.76%
921,1696,23,30%,2,46.59%
922,10574,24,26%,5,0.00%
923,8579,36,16%,22,0.04%
924,2521,22,17%,5,1.70%
925,2783,11,17%,2,0.34%
926,1826,23,25%,19,0.90%
927,11079,46,26%,25,50.74%
928,13490,35,30%,2,86.02%
929,4817,21,20%,16,5.86%
930,7137,46,22%,29,43.17%
931,2453,22,9%,7,10.90%
932,4215,35,14%,27,84.72%
933,7975,34,19%,29,99.10%
934,34926,23,19%,5,39.45%
935,4345,21,31%,16,2.80%
936,1494,35,17%,10,68.75%
937,1220,11,6%,3,1.19%
938,4381,33,11%,9,31.89%
939,3995,24,14%,6,15.69%
940,5203,24,28%,11,71.31%
941,13359,22,27%,14,51.49%
942,2488,23,25%,11,4.64%
943,8045,35,13%,31,9.38%
944,7799,23,21%,6,45.98%
945,23097,48,30%,34,80.34%
946,37056,23,13%,13,0.49%
947,5418,35,25%,2,5.44%
948,27076,23,20%,11,4.75%
949,15504,19,12%,16,54.68%
950,10556,35,23%,19,0.02%
951,5734,22,8%,3,1.20%
952,1871,11,10%,8,10.88%
953,6309,12,12%,6,0.02%
954,11245,24,22%,18,27.01%
955,13051,55,9%,11,5.10%
956,1757,23,26%,15,75.66%
957,6249,23,23%,5,5.19%
958,2412,21,5%,12,18.46%
959,8052,24,17%,21,3.46%
960,7655,45,7%,22,0.24%
961,1874,19,8%,12,34.25%
962,38854,47,25%,6,0.82%
963,5165,36,23%,1,0.31%
964,1975,12,11%,4,0.00%
965,5766,23,5%,20,10.38%
966,25263,23,16%,18,30.19%
967,8806,59,19%,46,0.53%
968,2806,22,31%,1,37.88%
969,2538,21,13%,3,0.05%
970,19980,47,23%,30,4.17%
971,3511,13,14%,3,0.04%
972,3778,35,32%,16,39.11%
973,4858,23,14%,5,49.88%
974,12068,47,16%,40,4.36%
975,10069,23,28%,8,0.20%
976,22540,11,11%,3,51.89%
977,6850,22,17%,6,1.17%
978,6909,36,7%,27,42.33%
979,77706,23,27%,8,13.93%
980,17620,23,8%,7,24.37%
981,4364,22,7%,19,2.15%
982,10820,47,17%,8,21.64%
983,4918,24,22%,9,8.10%
984,5403,48,17%,35,81.73%
985,9791,24,16%,17,98.06%
986,12659,23,21%,19,33.69%
987,14359,23,6%,21,2.20%
988,9949,23,30%,17,0.01%
989,1770,23,25%,21,65.68%
990,3394,36,32%,9,98.32%
991,16375,19,28%,16,25.65%
992,2607,36,21%,34,36.13%
993,3060,22,23%,19,1.33%
994,3056,23,14%,13,65.77%
995,4959,18,18%,5,34.35%
996,23430,35,11%,4,0.13%
997,3003,23,17%,6,0.00%
998,10349,15,18%,3,0.36%
999,10485,34,7%,14,12.50%
1000,5862,11,20%,2,45.56%
1001,8288,23,5%,16,31.85%
1002,3947,35,29%,7,99.31%
1003,4271,46,30%,26,56.38%
1004,4715,47,14%,27,56.89%
1005,8230,48,11%,36,71.41%
1006,1548,12,18%,6,6.15%
1007,7144,47,32%,43,88.54%
1008,3418,20,27%,11,1.69%
1009,1945,20,28%,5,61.89%
1010,6216,47,15%,43,21.57%
1011,5874,21,31%,11,83.99%
1012,2166,16,16%,2,6.28%
1013,1839,11,26%,4,32.71%
1014,1296,23,7%,15,0.06%
1015,2383,25,5%,22,90.46%
1016,11973,34,10%,23,12.60%
1017,5055,61,8%,42,18.23%
1018,14037,22,26%,17,36.55%
1019,1435,22,17%,15,0.79%
1020,14191,34,24%,1,0.10%
1021,1913,23,19%,20,71.37%
1022,1138,11,16%,2,0.01%
1023,10757,34,7%,3,29.61%
1024,13694,23,13%,19,5.23%
1025,4735,24,14%,16,2.59%
1026,3347,35,7%,7,0.12%
1027,3163,24,13%,2,2.14%
1028,5569,23,11%,18,2.89%
1029,1984,47,17%,36,9.98%
1030,9975,47,27%,1,23.18%
1031,4963,58,25%,42,0.53%
1032,6579,21,10%,14,41.81%
1033,1443,23,16%,4,0.00%
1034,21553,45,25%,28,10.26%
1035,2317,12,10%,3,79.15%
1036,1415,20,31%,8,16.59%
1037,8558,24,11%,1,27.63%
1038,10265,47,9%,22,28.86%
1039,6329,24,15%,9,0.03%
1040,2215,23,17%,15,44.14%
1041,3198,23,27%,11,15.08%
1042,1354,11,21%,5,2.68%
1043,4848,47,5%,43,0.22%
1044,20367,24,25%,21,2.62%
1045,2161,23,7%,7,47.42%
1046,82816,19,25%,6,0.06%
1047,7045,22,29%,8,0.03%
1048,11820,23,8%,5,5.49%
1049,4091,34,31%,29,2.79%
1050,1991,12,15%,5,6.00%
1051,4952,47,5%,21,34.19%
1052,4770,36,27%,5,4.30%
1053,5223,23,21%,16,10.79%
1054,13489,23,20%,6,3.90%
1055,4206,47,23%,20,7.69%
1056,17545,46,28%,26,3.72%
1057,2787,23,17%,14,48.95%
1058,37587,23,20%,3,16.86%
1059,13526,15,6%,4,0.04%
1060,1499,22,28%,3,53.99%
1061,6308,24,27%,22,6.69%
1062,1142,33,5%,8,2.19%
1063,13459,47,26%,44,0.00%
1064,2018,36,12%,26,0.32%
1065,11992,23,17%,11,0.13%
1066,2992,23,28%,9,1.48%
1067,5567,35,26%,15,13.56%
1068,54188,48,16%,33,0.69%
1069,7161,59,23%,22,0.07%
1070,1872,11,26%,2,20.84%
1071,2801,47,26%,20,30.71%
1072,4736,36,16%,19,2.87%
1073,3902,47,7%,44,2.08%
1074,2492,47,17%,27,63.50%
1075,6895,22,6%,14,8.56%
1076,14633,23,31%,4,86.08%
1077,1622,23,26%,14,0.00%
1078,21251,22,14%,3,0.81%
1079,15962,47,15%,4,94.10%
1080,1277,20,11%,5,2.01%
1081,2766,16,26%,6,37.73%
1082,7027,26,19%,19,8.56%
1083,7983,22,21%,4,72.50%
1084,13979,58,11%,40,0.05%
1085,2093,29,5%,19,8.22%
1086,10581,24,8%,16,69.62%
1087,1870,13,12%,1,7.93%
1088,3805,47,15%,5,44.08%
1089,15979,35,21%,27,65.27%
1090,8056,45,7%,39,30.53%
1091,22877,48,10%,4,4.02%
1092,3667,22,6%,9,55.91%
1093,12686,20,27%,9,0.00%
1094,4275,12,21%,5,23.76%
1095,14590,33,13%,6,98.57%
1096,11721,24,14%,14,71.72%
1097,7966,47,11%,12,29.01%
1098,1639,59,21%,22,21.27%
1099,6416,35,6%,27,62.54%
1100,4265,12,32%,8,62.51%
1101,4122,35,6%,24,26.31%
1102,2625,18,29%,11,9.50%
1103,3135,36,11%,2,92.58%
1104,9410,35,30%,8,3.29%
1105,12537,12,24%,8,1.73%
1106,2695,21,8%,12,28.93%
1107,5787,23,5%,12,72.85%
1108,3209,35,23%,10,0.08%
1109,5200,47,11%,12,47.73%
1110,1641,36,24%,8,26.90%
1111,4160,35,21%,22,26.87%
1112,8423,22,28%,1,0.25%
1113,10592,46,13%,1,20.53%
1114,29995,23,32%,17,71.82%
1115,17026,23,11%,9,0.14%
1116,6369,35,14%,29,0.06%
1117,4482,13,6%,10,0.21%
1118,6484,35,22%,11,20.14%
1119,5414,23,11%,6,0.02%
1120,5645,30,27%,14,14.96%
1121,4921,21,20%,6,0.64%
1122,7196,35,32%,9,48.43%
1123,9030,23,15%,12,2.17%
1124,7528,47,21%,7,22.59%
1125,23676,38,18%,3,31.90%
1126,2460,23,24%,12,65.45%
1127,4608,36,28%,22,22.56%
1128,1459,24,14%,8,12.31%
1129,10188,22,6%,2,90.86%
1130,6218,22,25%,5,93.60%
1131,5827,22,26%,1,0.29%
1132,13230,23,9%,15,59.19%
1133,7896,22,32%,3,12.13%
1134,3354,47,23%,44,0.22%
1135,9672,13,27%,6,85.30%
1136,4414,34,24%,21,69.51%
1137,21301,43,15%,19,0.62%
1138,17487,33,11%,30,67.57%
1139,6984,21,25%,6,0.90%
1140,1213,11,6%,7,52.15%
1141,3029,19,19%,16,3.17%
1142,5678,46,30%,43,0.80%
1143,2107,33,22%,22,52.86%
1144,7951,11,25%,4,35.76%
1145,2027,35,14%,9,20.98%
1146,2229,22,8%,14,35.74%
1147,6386,23,30%,15,10.12%
1148,8721,33,20%,3,0.01%
1149,1394,23,19%,16,7.15%
1150,3556,11,6%,1,16.84%
1151,3501,11,21%,8,0.54%
1152,2109,23,28%,18,89.52%
1153,22648,27,13%,17,98.67%
1154,4236,20,31%,13,96.56%
1155,3856,11,22%,9,43.13%
1156,25100,22,8%,18,0.05%
1157,23911,35,9%,33,56.36%
1158,6321,11,18%,9,32.70%
1159,2065,21,29%,10,86.82%
1160,4460,35,25%,5,6.44%
1161,2326,12,28%,4,24.04%
1162,5553,23,5%,4,0.14%
1163,14155,32,7%,29,2.46%
1164,23496,47,28%,20,6.40%
1165,4052,47,32%,42,1.65%
1166,1422,21,22%,5,0.02%
1167,8849,35,17%,18,9.95%
1168,2072,11,17%,3,1.25%
1169,3028,23,23%,7,2.66%
1170,6001,22,31%,13,0.20%
1171,4336,11,28%,9,91.18%
1172,3324,23,16%,21,0.01%
1173,5909,35,15%,7,75.68%
1174,2442,31,27%,6,88.47%
1175,1415,24,6%,20,2.17%
1176,3360,24,10%,17,11.64%
1177,1730,13,28%,6,69.84%
1178,13118,36,22%,18,19.03%
1179,55132,23,27%,19,0.04%
1180,3816,23,8%,1,9.69%
1181,2591,23,28%,19,8.17%
1182,6092,36,18%,28,0.06%
1183,4809,23,22%,11,55.67%
1184,8108,36,9%,20,74.22%
1185,5607,20,18%,8,0.23%
1186,1959,11,24%,7,0.03%
1187,1493,11,29%,5,30.15%
1188,6659,34,5%,1,16.99%
1189,3951,47,19%,27,1.22%
1190,3181,22,24%,3,4.01%
1191,4206,48,28%,46,72.87%
1192,1688,24,5%,6,35.93%
1193,5601,47,10%,45,0.09%
1194,12094,24,23%,15,26.66%
1195,15672,13,15%,10,1.15%
1196,2799,47,16%,40,81.76%
1197,7261,23,16%,7,9.57%
1198,3135,43,9%,1,20.14%
1199,9666,23,26%,5,2.07%
1200,1499,23,10%,19,93.42%
1201,6477,24,12%,15,30.02%
1202,7435,23,32%,19,63.03%
1203,2916,35,11%,28,85.46%
1204,4344,23,21%,4,7.47%
1205,1964,23,19%,14,0.00%
1206,21223,23,6%,5,4.20%
1207,1456,24,11%,22,35.32%
1208,6323,58,11%,39,6.17%
1209,1522,23,31%,13,18.79%
1210,3041,22,26%,7,0.01%
1211,7996,20,23%,11,63.86%
1212,13381,46,7%,19,80.03%
1213,7926,32,8%,14,37.66%
1214,4953,23,32%,8,35.74%
1215,1720,48,18%,4,1.60%
1216,6246,38,14%,31,6.73%
1217,2426,33,24%,25,2.27%
1218,8992,23,11%,11,4.56%
1219,2138,23,24%,11,8.04%
1220,13292,48,24%,43,9.53%
1221,16946,24,30%,9,0.01%
1222,3165,11,9%,2,0.00%
1223,1247,23,27%,5,1.64%
1224,3284,21,20%,6,8.33%
1225,1347,20,15%,18,0.79%
1226,1262,23,8%,12,40.25%
1227,4195,24,13%,22,1.59%
1228,8167,24,10%,8,67.65%
1229,5565,23,31%,15,18.59%
1230,31378,36,26%,14,25.03%
1231,26618,23,21%,2,34.17%
1232,11042,33,17%,1,63.29%
1233,2132,12,19%,6,7.81%
1234,4496,24,27%,21,76.90%
1235,2433,23,23%,7,32.98%
1236,12629,24,19%,18,11.33%
1237,1535,11,6%,9,0.77%
1238,2751,35,21%,16,0.14%
1239,6188,23,5%,21,1.17%
1240,5375,11,18%,1,12.37%
1241,4027,35,11%,3,31.35%
1242,3326,35,22%,31,3.38%
1243,7883,23,10%,14,15.36%
1244,4768,23,25%,11,91.38%
1245,9848,13,27%,2,0.20%
1246,7966,47,26%,12,0.44%
1247,7141,24,16%,14,3.14%
1248,6181,23,22%,15,31.11%
1249,30447,36,19%,9,9.48%
1250,22689,22,21%,10,9.00%
1251,1254,22,16%,10,1.87%
1252,6897,12,23%,3,29.70%
1253,2466,22,15%,11,0.67%
1254,2347,13,21%,10,53.89%
1255,1492,22,23%,16,78.10%
1256,13819,57,29%,52,81.13%
1257,9131,60,15%,19,3.26%
1258,5051,23,6%,21,63.67%
1259,2173,11,29%,6,32.55%
1260,7561,12,6%,6,46.11%
1261,1211,23,13%,10,38.27%
1262,1550,23,14%,15,1.04%
1263,15842,23,12%,19,71.83%
1264,4580,29,11%,19,0.06%
1265,1915,23,10%,14,28.02%
1266,6584,23,7%,20,7.16%
1267,3235,22,15%,5,85.97%
1268,6011,47,17%,26,20.71%
1269,2086,23,28%,11,3.58%
1270,1395,34,18%,14,75.91%
1271,1500,12,29%,2,1.99%
1272,2643,23,24%,14,85.24%
1273,5467,23,24%,6,2.12%
1274,6767,33,9%,28,18.23%
1275,5049,11,17%,5,0.08%
1276,7867,23,29%,11,49.10%
1277,3109,11,10%,1,1.28%
1278,7267,22,6%,14,92.19%
1279,3128,47,32%,23,0.83%
1280,13301,36,30%,1,16.48%
1281,1765,23,13%,2,16.36%
1282,11765,36,19%,16,66.33%
1283,1228,12,9%,10,6.98%
1284,8264,23,7%,20,27.87%
1285,12106,23,28%,7,78.26%
1286,6483,23,20%,21,71.40%
1287,3650,20,18%,6,0.06%
1288,5388,23,23%,15,0.04%
1289,7741,22,5%,5,20.67%
1290,2891,44,22%,21,4.88%
1291,10379,24,13%,14,32.45%
1292,2941,23,13%,4,1.65%
1293,3628,19,16%,2,26.13%
1294,1275,47,15%,11,27.53%
1295,1309,22,21%,17,12.06%
1296,1938,23,14%,9,0.04%
1297,1455,13,30%,11,43.20%
1298,128024,23,32%,9,14.96%
1299,2600,24,28%,6,1.55%
1300,1893,32,12%,28,1.56%
1301,9710,22,14%,11,5.90%
1302,20470,22,28%,16,75.65%
1303,2927,23,22%,17,1.09%
1304,2313,11,30%,1,11.44%
1305,1315,11,29%,9,86.16%
1306,2400,22,22%,2,87.99%
1307,3360,23,21%,20,68.42%
1308,99732,22,8%,14,40.19%
1309,8384,59,32%,6,2.45%
1310,8455,12,26%,6,1.67%
1311,4247,22,5%,20,53.56%
1312,23356,23,26%,9,7.55%
1313,6945,14,27%,4,25.14%
1314,2024,33,32%,24,94.19%
1315,1231,12,11%,3,1.00%
1316,7989,47,17%,7,5.97%
1317,3382,14,19%,3,40.23%
1318,6013,23,8%,9,54.68%
1319,12387,22,26%,12,18.74%
1320,1177,11,27%,4,23.41%
1321,14359,23,26%,9,10.12%
1322,48335,23,31%,15,22.04%
1323,9077,21,28%,17,93.22%
1324,11499,13,13%,4,0.06%
1325,1417,22,10%,1,19.17%
1326,1958,18,13%,5,81.39%
1327,21884,24,28%,14,34.49%
1328,11019,24,26%,9,24.12%
1329,1933,22,6%,2,93.93%
1330,5773,34,31%,3,60.42%
1331,20440,23,5%,1,31.27%
1332,2613,23,14%,9,0.07%
1333,1499,23,17%,6,30.83%
1334,9806,13,21%,10,1.67%
1335,9029,23,12%,8,3.12%
1336,3233,48,11%,21,21.51%
1337,4713,24,12%,12,1.65%
1338,2895,27,26%,17,30.99%
1339,8888,22,11%,1,0.26%
1340,2494,12,32%,7,22.50%
1341,6379,11,18%,4,0.21%
1342,3417,34,24%,2,0.01%
1343,1903,12,15%,5,7.61%
1344,11185,22,6%,9,0.09%
1345,7246,47,27%,22,20.38%
1346,3529,32,9%,23,70.40%
1347,2354,59,20%,48,3.32%
1348,54695,23,9%,10,11.73%
1349,18600,46,25%,1,6.88%
1350,2216,59,18%,51,66.46%
1351,11391,22,28%,8,0.18%
1352,4743,24,12%,2,2.82%
1353,12537,12,29%,2,0.02%
1354,3022,23,7%,10,0.00%
1355,15618,20,23%,8,61.04%
1356,2711,24,11%,4,0.05%
1357,4007,23,25%,3,83.34%
1358,3408,23,23%,6,39.99%
1359,8335,48,13%,19,0.02%
1360,5936,48,30%,17,0.63%
1361,15149,23,32%,2,2.55%
1362,4595,47,24%,14,8.82%
1363,1211,22,24%,1,0.01%
1364,6449,22,24%,15,32.13%
1365,2554,12,28%,1,42.46%
1366,14260,54,12%,8,0.36%
1367,12853,11,26%,9,5.06%
1368,7767,47,18%,44,29.87%
1369,1581,11,15%,5,49.96%
1370,1535,11,25%,6,41.94%
1371,2719,23,7%,20,71.38%
1372,2756,59,24%,5,51.55%
1373,3838,48,30%,19,64.83%
1374,3299,11,5%,4,14.03%
1375,6027,35,6%,18,79.57%
1376,9577,43,19%,11,9.76%
1377,39687,35,7%,5,26.35%
1378,18520,22,13%,7,75.38%
1379,5648,23,14%,2,59.12%
1380,15950,35,22%,9,14.08%
1381,5798,47,9%,12,8.28%
1382,1281,22,16%,12,45.21%
1383,7334,23,20%,1,16.26%
1384,1963,60,30%,25,4.26%
1385,6948,23,7%,3,24.10%
1386,1499,24,16%,10,26.40%
1387,4068,35,28%,26,4.98%
1388,23429,24,31%,8,31.94%
1389,6434,22,12%,2,15.85%
1390,2786,48,24%,26,48.93%
1391,27520,59,6%,56,2.06%
1392,2609,11,20%,8,24.15%
1393,3501,18,15%,14,13.40%
1394,6110,23,13%,17,65.90%
1395,1953,19,7%,8,7.69%
1396,20231,47,6%,34,85.87%
1397,7671,36,18%,29,29.97%
1398,13099,23,12%,13,12.33%
1399,5702,23,12%,11,1.91%
1400,1880,11,11%,9,90.09%
1401,7955,35,16%,21,0.08%
1402,2024,23,26%,6,4.65%
1403,80226,22,20%,2,53.54%
1404,1591,23,24%,21,76.30%
1405,1566,24,12%,2,38.26%
1406,39359,23,28%,8,82.41%
1407,1837,12,27%,2,0.15%
1408,7721,35,7%,21,7.32%
1409,8835,47,24%,11,22.19%
1410,13532,35,15%,11,49.75%
1411,3865,34,17%,26,49.35%
1412,1778,11,24%,7,1.77%
1413,2275,13,11%,1,0.00%
1414,2740,23,15%,13,0.00%
1415,6386,34,12%,25,3.18%
1416,5224,23,19%,12,67.80%
1417,9606,23,11%,20,20.75%
1418,13188,34,29%,8,0.48%
1419,4513,23,30%,2,45.98%
1420,5906,22,9%,3,2.14%
1421,4608,48,5%,38,4.81%
1422,3736,22,30%,19,54.77%
1423,3693,18,10%,10,0.34%
1424,5174,34,23%,28,0.17%
1425,3389,45,23%,15,3.61%
1426,28653,11,16%,5,81.34%
1427,5924,23,5%,16,15.06%
1428,6322,47,32%,33,0.01%
1429,2516,11,11%,1,12.03%
1430,3922,46,12%,29,56.42%
1431,15608,23,31%,9,20.77%
1432,5698,23,24%,21,21.15%
1433,12881,12,12%,4,84.22%
1434,7313,43,24%,31,18.05%
1435,3800,23,28%,17,49.98%
1436,3811,22,18%,15,8.94%
1437,15309,11,19%,6,0.23%
1438,12770,22,19%,17,34.91%
1439,6307,24,25%,5,0.27%
1440,2961,12,24%,8,0.75%
1441,2571,23,16%,18,0.85%
1442,3874,23,28%,21,15.87%
1443,4795,23,28%,15,14.83%
1444,9947,23,10%,10,55.97%
1445,2763,14,31%,7,25.97%
1446,13424,23,30%,11,44.65%
1447,5432,23,16%,15,21.16%
1448,6621,26,6%,6,7.85%
1449,8079,34,24%,2,0.23%
1450,1602,46,22%,35,2.32%
1451,4179,34,20%,21,13.94%
1452,2944,23,6%,16,15.85%
1453,1908,20,10%,2,0.38%
1454,4656,12,14%,7,98.46%
1455,2781,22,7%,7,40.86%
1456,3054,19,10%,16,0.08%
1457,12344,23,14%,13,65.60%
1458,1911,12,7%,2,89.20%
1459,8861,41,12%,25,1.50%
1460,3562,24,8%,22,23.20%
1461,5800,34,16%,17,67.75%
1462,2133,12,21%,8,2.48%
1463,34422,23,28%,7,0.86%
1464,4531,47,32%,2,53.95%
1465,4512,47,22%,11,0.20%
1466,12446,22,14%,11,1.31%
1467,13772,24,12%,1,11.77%
1468,8179,22,17%,1,0.00%
1469,12635,35,26%,6,10.40%
1470,7655,18,7%,1,6.08%
1471,3391,12,20%,1,8.87%
1472,1802,12,25%,5,0.04%
1473,5530,28,14%,24,21.86%
1474,7988,23,6%,20,21.08%
1475,9532,47,7%,32,5.81%
1476,1678,21,30%,1,57.51%
1477,31845,23,31%,17,29.02%
1478,9528,46,18%,31,7.56%
1479,10453,15,23%,12,26.14%
1480,4790,48,13%,30,0.00%
1481,3637,40,27%,18,10.67%
1482,4034,22,7%,5,22.37%
1483,2559,45,27%,43,0.57%
1484,1835,57,13%,35,27.58%
1485,1940,22,15%,11,10.10%
1486,10423,46,23%,16,12.52%
1487,1691,18,20%,5,0.06%
1488,3640,11,15%,9,77.44%
1489,2735,23,6%,8,93.28%
1490,4071,23,28%,15,90.69%
1491,2258,23,19%,6,0.09%
1492,2386,34,28%,22,0.83%
1493,16387,47,13%,21,0.01%
1494,6649,53,23%,6,13.11%
1495,5110,21,13%,12,8.19%
1496,10486,48,17%,27,0.47%
1497,1345,48,6%,27,13.12%
1498,4338,21,25%,3,0.86%
1499,3187,22,27%,13,0.03%
1500,25482,36,23%,30,46.17%
1501,2536,12,21%,2,30.16%
1502,1735,23,25%,11,37.93%
1503,5050,20,18%,9,0.13%
1504,1499,26,5%,1,5.21%
1505,7947,13,22%,1,58.56%
1506,2100,19,26%,3,14.96%
1507,4672,11,26%,2,47.09%
1508,10551,45,7%,10,15.20%
1509,8008,23,31%,11,4.77%
1510,6740,31,15%,27,7.68%
1511,3198,12,29%,9,19.39%
1512,18599,22,7%,14,80.71%
1513,32434,24,24%,21,38.27%
1514,7712,23,23%,20,14.31%
1515,4172,23,27%,13,27.57%
1516,2665,24,13%,13,33.95%
1517,1856,35,22%,23,2.64%
1518,3835,48,8%,31,25.32%
1519,7671,34,12%,23,55.57%
1520,7616,42,20%,37,41.87%
1521,3208,22,19%,14,0.16%
1522,128207,23,12%,4,0.80%
1523,1208,20,8%,11,0.37%
1524,5640,22,11%,14,9.93%
1525,4983,37,21%,24,3.05%
1526,4553,34,30%,3,73.15%
1527,4404,47,18%,41,54.44%
1528,11716,22,30%,17,26.64%
1529,5204,23,29%,2,94.95%
1530,1716,18,16%,8,0.73%
1531,6949,12,14%,4,19.01%
1532,5567,22,21%,18,1.50%
1533,1810,21,9%,14,33.90%
1534,2271,22,19%,20,34.45%
1535,5366,20,17%,14,0.06%
1536,20512,12,14%,6,2.97%
1537,3108,16,18%,3,33.83%
1538,1811,23,32%,8,26.95%
1539,25007,23,11%,18,1.35%
1540,3777,43,7%,32,10.93%
1541,4621,35,11%,31,23.56%
1542,4805,12,29%,10,16.98%
1543,4510,23,20%,2,2.78%
1544,7963,35,9%,32,12.52%
1545,3384,35,5%,32,21.21%
1546,6365,25,6%,12,1.72%
1547,3091,35,6%,29,0.01%
1548,10248,11,29%,5,57.99%
1549,4460,36,28%,18,18.31%
1550,3066,12,13%,5,15.83%
1551,2346,21,31%,18,2.54%
1552,3422,22,21%,17,69.02%
1553,5767,21,30%,19,0.21%
1554,2520,11,12%,3,0.68%
1555,6398,35,15%,1,10.15%
1556,11253,23,15%,14,27.87%
1557,8276,35,9%,10,0.80%
1558,2445,35,25%,2,6.74%
1559,6354,22,19%,18,3.07%
1560,25236,47,17%,44,1.65%
1561,15300,43,31%,36,94.92%
1562,28957,22,8%,2,3.40%
1563,1589,12,8%,3,0.00%
1564,1597,23,15%,12,41.41%
1565,13237,35,20%,31,66.43%
1566,11411,23,24%,20,18.52%
1567,8739,11,9%,7,12.12%
1568,1504,19,5%,9,12.59%
1569,1287,23,27%,16,5.73%
1570,8519,32,15%,23,6.01%
1571,15677,23,25%,8,0.72%
1572,4010,47,14%,42,20.87%
1573,2009,11,25%,3,64.08%
1574,2698,13,28%,6,0.17%
1575,1786,22,7%,9,41.03%
1576,5732,46,32%,11,82.26%
1577,3070,11,21%,3,49.52%
1578,2872,20,16%,15,55.48%
1579,3174,47,19%,7,44.84%
1580,4540,47,12%,17,0.00%
1581,5101,47,9%,45,0.75%
1582,20166,31,23%,1,1.38%
1583,7551,46,27%,16,17.15%
1584,6928,23,8%,21,5.06%
1585,1247,23,11%,10,50.03%
1586,10240,22,9%,16,84.36%
1587,14541,34,29%,27,0.53%
1588,9231,47,21%,19,0.84%
1589,3239,47,16%,16,0.05%
1590,10278,23,12%,3,1.79%
1591,6134,47,19%,26,76.44%
1592,19250,23,12%,14,2.34%
1593,4953,23,32%,12,0.00%
1594,16735,23,11%,19,73.84%
1595,2343,23,7%,16,16.32%
1596,2251,35,22%,6,0.01%
1597,6150,36,18%,15,33.34%
1598,1623,35,28%,16,19.99%
1599,4386,23,8%,3,24.48%
1600,7549,22,18%,12,45.42%
1601,2550,11,23%,4,2.79%
1602,12780,34,12%,2,70.82%
1603,1687,43,28%,7,29.50%
1604,1418,11,20%,8,50.50%
